Facility Name,Primary Service Category,Layers of Care Provided,Parish,City,Physical Address,Intake / Admissions Phone,After-Hours Coverage Line,Admin Email Contact,Age Groups Treated (Ages),Total Psychiatric Bed Count,Specialized Clinical Tracks,Medicaid Enrolled (Y/N),Medicare Enrolled (Y/N),Commercial Insurance Accepted,Discharge Planning / Referral Liaison,program_name,clarity_fit,notes
Community Enrichment Programs LLC,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,842 Margaret Place,3186750406.0,,tammywright6267@aol.com,,0,Substance Use Disorder,,,,Tammy  Plater,Community Enrichment Programs LLC,,
Community Health Care Solutions,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2800 Youree Drive, Suite 482",3188691849.0,,communityhealthcaresolutions@yahoo.com,,0,Substance Use Disorder,,,,Yolanda  Burnom,Community Health Care Solutions,,
"Community Health, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2920 Knight Street, Ste 110",3184591600.0,,deltaacd@bellsouth.net,,0,Substance Use Disorder,,,,Doris  Mitchell,"Community Health, LLC",,
Contemporary Family Services Inc. -Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,200 N. Thomas Dr. Suite 1,3184248345.0,,rtolbert@contemporaryservices.net,,0,Substance Use Disorder,,,,Robert  Tolbert,Contemporary Family Services Inc. -Shreveport,,
"Creative Counseling, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,9245 Wallace Lake Rd. Suite A,3182212828.0,,creativecounselingllc@gmail.com,,0,Substance Use Disorder,,,,DeMarcus  Williams,"Creative Counseling, LLC",,
"Destiny Counseling Agency, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,2924 Knight St. Suite 436,3186064247.0,,destinycounseling@msn.com,,0,Substance Use Disorder,,,,Cynthia c Zeigler,"Destiny Counseling Agency, LLC",,
"Agape Love Counseling Service, LLC",Behavioral Health Service,Behavioral Health Service,Bossier,Shreveport,1513 Line Avenue Suite 240,3186557084.0,,agapelovecounselingservice@gmail.com,,0,Substance Use Disorder,,,,Natshia F Dennis,"Agape Love Counseling Service, LLC",,
Active Recovery LLC,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,3821 Southern Ave.,3189468157.0,,terri@activerecoveryla.org,,0,Substance Use Disorder,,,,Sheila  Todd,Active Recovery LLC,,
"DOBI Healthcare Service, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"1513 Line Avenue, Suite 230",3186788858.0,,dobihealthcareservices@hotmail.com,,0,Substance Use Disorder,,,,Obiora Nweke,"DOBI Healthcare Service, LLC",,
A Touch of Mercy,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,4718 Hearne Ave,3188281521.0,,atouchofmercy@yahoo.com,,0,Substance Use Disorder,,,,Mildred Rivers,A Touch of Mercy,,
A Center for Hope and Change,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,543 Stoner Avenue,3186739901.0,,achc2003@aol.com,,0,Substance Use Disorder,,,,LaCoya  Plater,A Center for Hope and Change,,
Easter Seals Louisiana - Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"3007 Knight Street, Suite 200",3182218244.0,,dcowdin@laeasterseals.com,,0,Substance Use Disorder,,,,Donald  Cowdin,Easter Seals Louisiana - Shreveport,,
Phoenix Family Life Center-Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,800 Springs St. Ste 205,3186703170.0,,tishola@seasidehc.com,,0,Substance Use Disorder,,,,Chastity Butler,Phoenix Family Life Center-Shreveport,,
"Resilient House, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,7020 Klug Pines Road,8332426431.0,,craigjohnson@resilienthouse.com,,0,Substance Use Disorder,,,,CRAIG  JOHNSON,"Resilient House, LLC",,
"Rising Up Family Services, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,404 Hearne Ave,3187161369.0,,rufs1@att.net,,0,Substance Use Disorder,,,,Eric  Clark,"Rising Up Family Services, LLC",,
"SeedLinks Behavior Management, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,1543 Grimmett Drive,3184583651.0,,seedlinks@seedlinks.net,,0,Substance Use Disorder,,,,Ryan  Williams,"SeedLinks Behavior Management, LLC",,
Shoulders of Strength - Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2800 Youree Drive, Suite 301",3188487143.0,,sosinc130@aol.com,,0,Substance Use Disorder,,,,Tierney  Strange,Shoulders of Strength - Shreveport,,
Shreveport Behavioral Health Clinic,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,1310 North Hearne Ave,3186765111.0,,douglas.efferson@la.gov,,0,Substance Use Disorder,,,,Doug  Efferson,Shreveport Behavioral Health Clinic,,
"Social Work Professional Services, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,2219 Claiborne Avenue,3187790430.0,,socialworkprofessionalservices@outlook.com,,0,Substance Use Disorder,,,,Lariana  Graham-Tayor,"Social Work Professional Services, LLC",,
Street Outreach Solutions,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2715 Mackey Place, Suite 119",3187717707.0,,mpeek.sos@gmail.com,,0,Substance Use Disorder,,,,Oasha  Brocks,Street Outreach Solutions,,
Superior Counseling Services - Ruston,Behavioral Health Service,Behavioral Health Service,Bossier,Shreveport,829 East Georgia,3182420730.0,,superiorcounseling@yahoo.com,,0,Substance Use Disorder,,,,Katrina  Boden,Superior Counseling Services - Ruston,,
Superior Counseling Services - Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2620 Centenary Blvd, B3, Suite 312",3186819935.0,,superiorcounseling@yahoo.com,,0,Substance Use Disorder,,,,Katrina  Boden,Superior Counseling Services - Shreveport,,
The Center for Children and Families - Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"800 Spring Street, Suite 215",3182278390.0,,mthornton@standforhope.org,,0,Substance Use Disorder,,,,Matthew  Thornton,The Center for Children and Families - Shreveport,,
The Kennedy Center of Louisiana,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2210 Line Ave, Suite 207",3186751112.0,,yurawright@aol.com,,0,Substance Use Disorder,,,,Yura  Wright,The Kennedy Center of Louisiana,,
Unconditional Care Behavioral Center,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,2924 Knight St. Suite 318,3182165562.0,,cbrown.ucc@outlook.com,,0,Substance Use Disorder,,,,CHASSITY  BROWN-SPELLS,Unconditional Care Behavioral Center,,
Valley of Hope Counseling Agency,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,4019 Greenwood Road,3186265462.0,,lberry.voh@outlook.com,,0,Substance Use Disorder,,,,Shannon  Powell,Valley of Hope Counseling Agency,,
"Youth and Family Services, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,8101 Kingston Rd # 101B,3185058976.0,,youthandfamilylservices@outlook.com,,0,Substance Use Disorder,,,,Deamon P Perry,"Youth and Family Services, LLC",,
Red River Therapeutic Solutions,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2715 Mackey Place, Suite 135",3186556892.0,,hjrrts1@gmail.com,,0,Substance Use Disorder,,,,Courtney  Wilson,Red River Therapeutic Solutions,,
Pelican Bayou Counseling Agency,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,9403 Mansfield Road,3188618938.0,,pelicanbca@gmail.com,,0,Substance Use Disorder,,,,Shawanda  Stewart,Pelican Bayou Counseling Agency,,
"Envision Counseling Services, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"7505 Pines Road, Suite 1230",3185623707.0,,envisionservices2014@gmail.com,,0,Substance Use Disorder,,,,Charme  Thompson,"Envision Counseling Services, LLC",,
"Peaceful Alternatives Counseling & Therapy, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,5902 Buncombe Rd,3186708898.0,,peacefulalternatives@peacefulpacts.com,,0,Substance Use Disorder,,,,Coralyn  Milton-Terry,"Peaceful Alternatives Counseling & Therapy, LLC",,
"Family Services Unlimited, Inc.",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,1717 Marshall Street,3182269944.0,,fsu2421@aol.com,,0,Substance Use Disorder,,,,LaCharra  Johnson,"Family Services Unlimited, Inc.",,
"Finding A Better Me, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,2924 Knight St. Suite 420,3182100587.0,,findingmeLA@gmail.com,,0,Substance Use Disorder,,,,Jashonda  Atkins,"Finding A Better Me, LLC",,
"Gateway Counseling Services, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,2920 Knight St. Suite 101,3186707047.0,,tamille.williams@gmail.com,,0,Substance Use Disorder,,,,Tamille  Williams,"Gateway Counseling Services, LLC",,
"J&J Impact Counseling,LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,1513 Line Avenue Suite 222,3185186783.0,,jharrell.jji@outlook.com,,0,Substance Use Disorder,,,,Jaime  Harrell,"J&J Impact Counseling,LLC",,
Jenkins Counseling Services,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"1513 Line Avenue, Suite 225",3187543890.0,,jenkinscounselingser@gmail.com,,0,Substance Use Disorder,,,,"James  Jenkins, Jr",Jenkins Counseling Services,,
Juvenile Court for Caddo Parish,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,1835 Spring Street,3182266500.0,,bbletz@caddo.org,,0,Substance Use Disorder,,,,Clay  Walker,Juvenile Court for Caddo Parish,,
"Let''''s Talk Counseling and Therapy, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,3939 Linwood Avenue,3188683093.0,,letstalkcounseling@att.net,,0,Substance Use Disorder,,,,Tresselar  Williams-Lee,"Let''''s Talk Counseling and Therapy, LLC",,
"Life Changing Solutions, LLC - Shreveport",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,6015 Heame Avenue,3182130904.0,,lcs@lifechangingsolutionsllc.com,,0,Substance Use Disorder,,,,Juanice  Moses,"Life Changing Solutions, LLC - Shreveport",,
"Life Matters Counseling and Therapy, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,7505 Pines Rd. Ste 1200i,3187161707.0,,Lifematterscounsel@yahoo.com,,0,Substance Use Disorder,,,,Elonda  Gerard,"Life Matters Counseling and Therapy, LLC",,
Lighthouse Community Care-Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2620 Centenary Blvd, Suite 207",3186265657.0,,bthomasceo@lighthouseccbr.com,,0,Substance Use Disorder,,,,Tiffany  Beshears,Lighthouse Community Care-Shreveport,,
Lighthouse Counseling Agency,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,3936 Greenwood Road,3186366002.0,,lhcallc@gmail.com,,0,Substance Use Disorder,,,,Calvin  Beaner,Lighthouse Counseling Agency,,
Louisiana Association on Compulsive Gambling,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,324 Texas Street,3182270883.0,,jmiller@helpforgambling.org,,0,Substance Use Disorder,,,,Janet  Miller,Louisiana Association on Compulsive Gambling,,
"Loyalty Healthcare Behavioral Counseling, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2800 Youree Drive, Suite 120",3186714341.0,,loyaltyhealthcareservice@gmail.com,,0,Substance Use Disorder,,,,Felicia  Butler,"Loyalty Healthcare Behavioral Counseling, LLC",,
Magnolia Mental Health LLC,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,7629 Pines Road,3186265991.0,,magnoliamentalhealth@gmail.com,,0,Substance Use Disorder,,,,Cargina  Myles,Magnolia Mental Health LLC,,
Mental Health Solutions,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,2924 Knight St. Suite 420,3186311222.0,,john.gianforte@mhs-shreveport.com,,0,Substance Use Disorder,,,,John  Gianforte,Mental Health Solutions,,
Merakey Pennsylvania-Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,3341 Youree Drive Suite 205,3182194167.0,,mdahlhauser@merakey.org,,0,Substance Use Disorder,,,,Mike  Dahlhauser,Merakey Pennsylvania-Shreveport,,
Metropolitan Circles,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,3510 Linwood Avenue,3186364194.0,,metfam@metropolitancircles.com,,0,Substance Use Disorder,,,,Wendy  Sims,Metropolitan Circles,,
"Milestones Counseling Center, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,4646 Hilry Huckaby III,3186703159.0,,khawkins@milestonescounseling.org,,0,Substance Use Disorder,,,,Kimberly  Hawkins,"Milestones Counseling Center, LLC",,
"Milestones Counseling Services, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"2800 Youree Drive, Suite 330 B",3182362000.0,,rcox@milestonescounseling.com,,0,Substance Use Disorder,,,,Ryan Cox,"Milestones Counseling Services, LLC",,
"Mind Rehabilitation & Resource Center, Inc.",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"6009 Financial Plaza, Suite 102",3188281455.0,,mindrehab@comcast.net,,0,Substance Use Disorder,,,,Ken  Chinweze,"Mind Rehabilitation & Resource Center, Inc.",,
New Day Recovery- Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,6240 Greenwood Rd,3185626320.0,,doug@new-dayrecovery.com,,0,Substance Use Disorder,,,,Karen  Baird,New Day Recovery- Shreveport,,
"Northwest Louisiana Behavioral Services, LLC",Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"7505 Pines Rd, Suite 1115",3186834086.0,,nlbs7505@gmail.com,,0,Substance Use Disorder,,,,Barbara  Casey,"Northwest Louisiana Behavioral Services, LLC",,
Palmetto Addiction Recovery Center-Shreveport,Behavioral Health Service,Behavioral Health Service,Caddo,Shreveport,"820 Jordan Street,  Suite 204",3182680757.0,,hrogers@palmettocenter.com,,0,Substance Use Disorder,,,,Hollye  Rogers,Palmetto Addiction Recovery Center-Shreveport,,
First Step Counseling,Behavioral Health Service,Behavioral Health Service,Lincoln,Ruston,107 W Alabama,3182247170.0,,firststepcounselingllc@gmail.com,,0,Substance Use Disorder,,,,Jacques  Prudhomme,First Step Counseling,,
Lincoln Counseling,Behavioral Health Service,Behavioral Health Service,Lincoln,Ruston,617 South Trenton Street,3182782793.0,,csalter@lincolncounselingllc.com,,0,Substance Use Disorder,,,,Chris  Salter,Lincoln Counseling,,
New Horizon Counseling Agency,Behavioral Health Service,Behavioral Health Service,Lincoln,Ruston,775 South Bonner Street,3182247017.0,,newhorizon_counseling@yahoo.com,,0,Substance Use Disorder,,,,Tyler  Price,New Horizon Counseling Agency,,
Ruston Behavioral Health Clinic,Behavioral Health Service,Behavioral Health Service,Lincoln,Ruston,602 East Georgia Avenue,3182514125.0,,sheryl.muwwakkil@la.gov,,0,Substance Use Disorder,,,,Sheryl  Muwwakkil,Ruston Behavioral Health Clinic,,
Lafourche Behavioral Health Center,Behavioral Health Service,Behavioral Health Service,Lafourche,Raceland,157 Twin Oaks Drive,9855376823.0,,renee.williams@la.gov,,0,Substance Use Disorder,,,,Renee  Lirette-Williams,Lafourche Behavioral Health Center,,
Wrap Around Services of Raceland,Behavioral Health Service,Behavioral Health Service,Lafourche,Raceland,3821 Highway 1,9855376776.0,,lpringle@seasidehc.com,,0,Substance Use Disorder,,,,Tarkisha  Wallace,Wrap Around Services of Raceland,,
Palmetto Addiction Recovery-Rayville,Behavioral Health Service,Behavioral Health Service,Richland,Rayville,86 Palmetto Road,3187282970.0,,hrogers@palmettocenter.com,,0,Substance Use Disorder,,,,Hollye  Rogers,Palmetto Addiction Recovery-Rayville,,
Rayville Recovery,Behavioral Health Service,Behavioral Health Service,Richland,Rayville,307 Hayes Street,3187285488.0,,sarah@rayvillerecovery.com,,0,Substance Use Disorder,,,,W. Bland  Greeson,Rayville Recovery,,
"Total Wellness Advocates, LLC",Behavioral Health Service,Behavioral Health Service,Richland,Rayville,"114 Inechien Street, Suite A",3184177780.0,,ssmith@totalwellnessadvocates.com,,0,Substance Use Disorder,,,,Shandra  Smith,"Total Wellness Advocates, LLC",,
Rising Kare Counseling LLC,Behavioral Health Service,Behavioral Health Service,Lincoln,Ruston,413 S. Farmerville St,3185481463.0,,risingkarecounseling@yahoo.com,,0,Substance Use Disorder,,,,Robert  Smith Jr,Rising Kare Counseling LLC,,
Assisi Bridge House,Behavioral Health Service,Behavioral Health Service,Terrebonne,Schriever,600 Bull Run Road,9858725529.0,,rgorman@htdiocese.org,,0,Substance Use Disorder,,,,Rob  Gorman,Assisi Bridge House,,
"Pivotal Moments, LLC",Behavioral Health Service,Behavioral Health Service,Lafayette,Scott,124 Abigayles Row,3373088125.0,,pivotalmomentsllc@yahoo.com,,0,Substance Use Disorder,,,,Scholar  Jenkins,"Pivotal Moments, LLC",,
Louisiana Methodist Childrens Home,Psychiatric Residential Treatment Facilities,Psychiatric Residential Treatment Facilities,Lincoln,Ruston,904 DEVILLE LANE,3182555020.0,,rick.wheat@LMCH.org,,0,Substance Use Disorder,,,,Richard  Wheat,Louisiana Methodist Childrens Home,,
St. Christopher''''''''''''''''''''''''''''''''s,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,235 Cora Drive,2253971611.0,,dwayne@addictionwellness.com,,0,Substance Use Disorder,,,,Dwayne  Beason,St. Christopher''''''''''''''''''''''''''''''''s,,
"Striving 4 Excellence Behavioral Healthcare, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,12090 South Harrells Ferry Rd. Suite L,2252896889.0,,strivingexcellence4@gmail.com,,0,Substance Use Disorder,,,,Terrilina Washington,"Striving 4 Excellence Behavioral Healthcare, LLC",,
"The Grove of LA, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"624 Connell's Park Lane, Suite A",2253004850.0,,wpope@thegrovela.org,,0,Substance Use Disorder,,,,Wes  Pope,"The Grove of LA, LLC",,
The Macro Group II,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"1520 Thomas H. Delpit, Suite 219",2253890138.0,,themacrogroupii@yahoo.com,,0,Substance Use Disorder,,,,Nicole  Applewhite,The Macro Group II,,
The Recovery Center of Baton Rouge,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,673 East Airport Avenue,2259277475.0,,rudy@recoverycenterbr.com,,0,Substance Use Disorder,,,,Rudy  Troyer,The Recovery Center of Baton Rouge,,
The Serenity Center of Louisiana,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,2325 Weymouth,2253610899.0,,monique.claitor@theserenitycenterla.com,,0,Substance Use Disorder,,,,Monique  Claitor,The Serenity Center of Louisiana,,
"Top-Notch Behavioral Healthcare Services, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"10431 Siegen Lane, Suite 101",2259607179.0,,litonialandry@gmail.com,,0,Substance Use Disorder,,,,Litonia  Landry,"Top-Notch Behavioral Healthcare Services, LLC",,
Townsend Treatment Center - Baton Rouge,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"7434 Picardy Ave, Suites A & B",2257674774.0,,kguidry@contactaac.com,,0,Substance Use Disorder,,,,Kristine  Guidry,Townsend Treatment Center - Baton Rouge,,
"Turn-A-Round Community Outreach, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"4336 North Blvd, # 204",2259607419.0,,awilliams@turnaroundlives.com,,0,Substance Use Disorder,,,,Antoinette  Williams,"Turn-A-Round Community Outreach, LLC",,
"Unbound Family Support Organization, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,3180 Convention St. Sutie B,2258311480.0,,compliance@unboundfso.org,,0,Substance Use Disorder,,,,Jason A Harris,"Unbound Family Support Organization, LLC",,
"Vertical Outreach, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"4021 W.E. Heck Court, Suite B2",2253025804.0,,tschoinas@verticaloutreach.com,,0,Substance Use Disorder,,,,Tara  Schoinas,"Vertical Outreach, LLC",,
VOA Greater BR The Reilly Center for Children and Families,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"1945 Carolyn Sue Drive,",2259289398.0,,ssterling@voagbr.org,,0,Substance Use Disorder,,,,Shelia  Sterling,VOA Greater BR The Reilly Center for Children and Families,,
YES Services of Louisiana,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"12090 South Harrells Ferry Road, Suite O",8005879346.0,,ayelverton@yes2hh.com,,0,Substance Use Disorder,,,,Vickie  Yelverton,YES Services of Louisiana,,
"Youth Empowerment Solutions, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,5425 Galeria Drive #C,2252849092.0,,roselynjohnson10@yahoo.com,,0,Substance Use Disorder,,,,Roselyn  Whitley,"Youth Empowerment Solutions, LLC",,
Start Corporation,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"9420 Lindale Ave, Suites A & B",2254423540.0,,casey@startcorp.org,,0,Substance Use Disorder,,,,Casey  Guidry,Start Corporation,,
Shoulders of Strength - Baton Rouge,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"11616 Southfork Ave, Suite 401",2252919646.0,,sosinc130@aol.com,,0,Substance Use Disorder,,,,Alicia  Mason,Shoulders of Strength - Baton Rouge,,
Safekeeping Care Services,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"12021 Florida Blvd, Suite C",2257787076.0,,safekeepingcs@yahoo.com,,0,Substance Use Disorder,,,,Henry  Wilson,Safekeeping Care Services,,
LA Excel Care,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"4348 Jeffery Drive, Suite 102",2259379666.0,,carol.laexcelcare@gmail.com,,0,Substance Use Disorder,,,,Dickson  Idusuri,LA Excel Care,,
La Solucion Familiar Servicios Para Ninos Y Adulto,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,1120 Government Street,2253642550.0,,carlmnoyes@gmail.com,,0,Substance Use Disorder,,,,Carlos  Samuels,La Solucion Familiar Servicios Para Ninos Y Adulto,,
LHRC - Life Care Center,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,4255 East Brookstown Drive,2259270770.0,,tmblakes@lahealthandrehab.org,,0,Substance Use Disorder,,,,Soundra T Johnson,LHRC - Life Care Center,,
LHRC-Reality House-Halfway House,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,2056 North Blvd,2253433438.0,,tmblakes@lahealthandrehab.org,,0,Substance Use Disorder,,,,Soundra  Temple Johnson,LHRC-Reality House-Halfway House,,
Lighthouse Community Care-Baton Rouge,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,8325 Kelwood Avenue,2252395498.0,,bthomasceo@lighthouseccbr.com,,0,Substance Use Disorder,,,,Tiffany  Beshears,Lighthouse Community Care-Baton Rouge,,
Living Waters Outreach Ministry,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,803 North 48th Street,2252481054.0,,livingwaters1@cox.net,,0,Substance Use Disorder,,,,Camille  Litt,Living Waters Outreach Ministry,,
Louisiana Outreach Services,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"8211 Summa Ave, Suite F",2257611970.0,,louisianaoutreachservices@gmail.com,,0,Substance Use Disorder,,,,Cheryl  Spooner,Louisiana Outreach Services,,
"Louisiana Youth Connect, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"4845 Jamestown Ave, Suite 208",2257576615.0,,info@layouthconnect.org,,0,Substance Use Disorder,,,,Eric  Spooner,"Louisiana Youth Connect, LLC",,
Margaret Dumas Mental Health Center,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,3843 Harding Blvd,2253599315.0,,ryan.rife@la.gov,,0,Substance Use Disorder,,,,Cary  Bahlinger,Margaret Dumas Mental Health Center,,
Merakey Pennsylvania-Baton Rouge,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"711 Colonial Dr, Ste. D",2252462162.0,,marlon.boutin@merakey.org,,0,Substance Use Disorder,,,,Marlon  Boutin,Merakey Pennsylvania-Baton Rouge,,
"Morning Star Health Rehab Services, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,3173 Washington Avenue,2257787678.0,,morningstarhealthrehab@gmail.com,,0,Substance Use Disorder,,,,Bridgette  Flowers,"Morning Star Health Rehab Services, LLC",,
"New Decisions, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"9410 Lindale Ave, Suite A",2257687246.0,,newdecisionsnow@gmail.com,,0,Substance Use Disorder,,,,Tenika  James,"New Decisions, LLC",,
"New Faith Rehabilitation, Inc",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,1755 Wooddale Blvd,2252395945.0,,newfaithrehab296@gmail.com,,0,Substance Use Disorder,,,,Bonnie  Walker,"New Faith Rehabilitation, Inc",,
New Hope Faith Based Intensive Outpatient Program,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,5925 Greenwell Springs Road,2259267911.0,,renettakl@bellsouth.net,,0,Substance Use Disorder,,,,"Leo D Cyrus, Sr.",New Hope Faith Based Intensive Outpatient Program,,
New Horizons Behavioral Health Center,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"12628 Hooper Road, Suite C",2257181108.0,,kt.brown@newhorizonsbhc.com,,0,Substance Use Disorder,,,,Kerry  Brown,New Horizons Behavioral Health Center,,
"NIALife Center for Counseling, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"2929 Millerville Road, Building 1, Suite E",2253669605.0,,ebonycaws@gmail.com,,0,Substance Use Disorder,,,,Ebony  Christophe,"NIALife Center for Counseling, LLC",,
"Novice House of Baton Rouge, Inc.",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"11616 Southfork Ave, Suite 203",2252919718.0,,fsuinc@novicehouseofbatonrouge.com,,0,Substance Use Disorder,,,,Christen  Lewis,"Novice House of Baton Rouge, Inc.",,
O''''Brien House,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,1220 Main Street,2253446345.0,,toddhamilton@obrienhouse.org,,0,Substance Use Disorder,,,,Todd  Hamilton,O''''Brien House,,
Peak Behavioral Health,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"4919 Jamestown Avenue,  Suite 104",2253687502.0,,peakbehavioralhealthbr@gmail.com,,0,Substance Use Disorder,,,,Stacey  Batiste,Peak Behavioral Health,,
Pelican Bayou Counseling Agency - Baton Rouge,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"3084 West Fork, Suite C",2252966083.0,,pelicanbca@gmail.com,,0,Substance Use Disorder,,,,Shawanda  Stewart,Pelican Bayou Counseling Agency - Baton Rouge,,
"Pinnacle Community Care Services, LLC",Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,2460 College Drive,2252395293.0,,pinnacle.community.care@gmail.com,,0,Substance Use Disorder,,,,Joseph  Davis,"Pinnacle Community Care Services, LLC",,
Post Trauma Institute of Louisiana,Behavioral Health Service,Behavioral Health Service,East Baton Rouge,Baton Rouge,"2798 O'Neal Lane, Suite 8",2257515412.0,,lsalone@posttraumainstitute.com,,0,Substance Use Disorder,,,,Lawrence  Salone,Post Trauma Institute of Louisiana,,
